name,key,taxonomic_rank,order,family,genus
Russula_aeruginea,2551173,SPECIES,Russulales,Russulaceae,Russula
Russula_paludosa,2551201,SPECIES,Russulales,Russulaceae,Russula
Entoloma_sericeum,3345972,SPECIES,Agaricales,Entolomataceae,Entoloma
Crepidotus_calolepis,5240970,SPECIES,Agaricales,Crepidotaceae,Crepidotus
Lactarius_deceptivus,5462822,SPECIES,Russulales,Russulaceae,Lactarius
Entoloma_strictius,6014956,SPECIES,Agaricales,Entolomataceae,Entoloma
Cortinarius_alboviolaceus,7844497,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Pseudoboletus_parasiticus,8308057,SPECIES,Boletales,Boletaceae,Pseudoboletus
Coprinopsis_lagopus,8945216,SPECIES,Agaricales,Psathyrellaceae,Coprinopsis
Xanthoconium_affine,2524726,SPECIES,Boletales,Boletaceae,Xanthoconium
Laccaria_laccata,2530926,SPECIES,Agaricales,Hydnangiaceae,Laccaria
Clitocybe_odora,2531124,SPECIES,Agaricales,Tricholomataceae,Clitocybe
Hygrophorus_pudorinus,2538714,SPECIES,Agaricales,Hygrophoraceae,Hygrophorus
Albatrellus_ovinus,2551823,SPECIES,Russulales,Albatrellaceae,Albatrellus
Inocybe_lacera,3330718,SPECIES,Agaricales,Inocybaceae,Inocybe
Cortinarius_chrysolitus,3350308,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Sarcodon_stereosarcinon,5238857,SPECIES,Thelephorales,Bankeraceae,Sarcodon
Crepidotus_applanatus,5240984,SPECIES,Agaricales,Crepidotaceae,Crepidotus
Agaricus_arvensis,5243403,SPECIES,Agaricales,Agaricaceae,Agaricus
Cryptoporus_volvatus,5248035,SPECIES,Polyporales,Polyporaceae,Cryptoporus
Connopus_acervatus,8114489,SPECIES,Agaricales,Omphalotaceae,Connopus
Tubaria_furfuracea,8796319,SPECIES,Agaricales,Tubariaceae,Tubaria
Entoloma_incanum,8842718,SPECIES,Agaricales,Entolomataceae,Entoloma
Inocybe_flocculosa,2528025,SPECIES,Agaricales,Inocybaceae,Inocybe
Laccaria_amethystina,2530983,SPECIES,Agaricales,Hydnangiaceae,Laccaria
Catathelasma_ventricosum,2531724,SPECIES,Agaricales,Biannulariaceae,Catathelasma
Abortiporus_biennis,2544114,SPECIES,Polyporales,Podoscyphaceae,Abortiporus
Russula_emetica,2551213,SPECIES,Russulales,Russulaceae,Russula
Gomphus_clavatus,5238786,SPECIES,Gomphales,Gomphaceae,Gomphus
Crepidotus_crocophyllus,5240934,SPECIES,Agaricales,Crepidotaceae,Crepidotus
Pluteus_chrysophlebius,5241370,SPECIES,Agaricales,Pluteaceae,Pluteus
Tricholoma_focale,5241757,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Tricholoma_virgatum,5241830,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Tricholoma_portentosum,5241860,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Polyporus_umbellatus,5246840,SPECIES,Polyporales,Polyporaceae,Polyporus
Lactarius_mammosus,5248764,SPECIES,Russulales,Russulaceae,Lactarius
Leccinum_piceinum,7942472,SPECIES,Boletales,Boletaceae,Leccinum
Antrodia_heteromorpha,8769312,SPECIES,Polyporales,Fomitopsidaceae,Antrodia
Amanita_rhacopus,10339265,SPECIES,Agaricales,Amanitaceae,Amanita
Boletinus_ampliporus,12183510,SPECIES,Boletales,Suillaceae,Boletinus
Tulasnella_aurantiaca,12202586,SPECIES,Cantharellales,Tulasnellaceae,Tulasnella
Xeromphalina_kauffmanii,2527301,SPECIES,Agaricales,Mycenaceae,Xeromphalina
Cortinarius_pholideus,2528987,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Stropharia_hornemannii,2533365,SPECIES,Agaricales,Strophariaceae,Stropharia
Megacollybia_platyphylla,2537689,SPECIES,Agaricales,Tricholomataceae,Megacollybia
Pycnoporellus_fulgens,2543387,SPECIES,Polyporales,Pycnoporellaceae,Pycnoporellus
Cortinarius_incognitus,3349948,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Boletinus_glandulosus,3558412,SPECIES,Boletales,Suillaceae,Boletinus
Scleroderma_areolatum,5239963,SPECIES,Boletales,Sclerodermataceae,Scleroderma
Agaricus_placomyces,5243506,SPECIES,Agaricales,Agaricaceae,Agaricus
Tricholoma_subluteum,5450618,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Lactarius_affinis,5462733,SPECIES,Russulales,Russulaceae,Lactarius
Lactarius_mucidus,7240104,SPECIES,Russulales,Russulaceae,Lactarius
Hygrophorus_speciosus,7244108,SPECIES,Agaricales,Hygrophoraceae,Hygrophorus
Suillus_luteus,7777157,SPECIES,Boletales,Suillaceae,Suillus
Hymenopellis_megalospora,8088863,SPECIES,Agaricales,Physalacriaceae,Hymenopellis
Fomitiporia_punctata,8669905,SPECIES,Hymenochaetales,Hymenochaetaceae,Fomitiporia
