Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
45,Tyromyces chioneus (Fr.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Incrustoporiaceae,Tyromyces,Tyromyces chioneus
45,Phallus ravenelii Berk. & M.A.Curtis,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus ravenelii
45,"Gloioxanthomyces nitidus (Berk. & M.A.Curtis) Lodge, Vizzini, Ercole & Boertm.",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Gloioxanthomyces,Gloioxanthomyces nitidus
45,Trametes pubescens (Schumach.) Pilát,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes pubescens
44,Russula brevipes Peck,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula brevipes
43,Pleurotus pulmonarius (Fr.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus pulmonarius
43,Tricholoma equestre (L.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma equestre
43,Volvariella bombycina (Schaeff.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,Volvariella bombycina
42,Mycena haematopus (Pers.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena haematopus
42,Lepiota cristata (Bolton) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota,Lepiota cristata
42,Lentinus levis (Berk. & M.A.Curtis) Murrill,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,Lentinus levis
42,Rhodocollybia maculata (Alb. & Schwein.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia maculata
42,Tricholoma saponaceum (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma saponaceum
42,Inocybe geophylla P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe geophylla
42,Flammula alnicola (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Flammula,Flammula alnicola
42,"Auricularia americana Parmasto & I.Parmasto ex Audet, Boulet & Sirard",Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia americana
42,"Xanthoporia radiata (Sowerby) Ţura, Zmitr., Wasser, Raats & Nevo",Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Xanthoporia,Xanthoporia radiata
42,Chalciporus piperatus (Bull.) Bataille,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,Chalciporus piperatus
41,Laccaria ochropurpurea (Berk.) Peck,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria ochropurpurea
41,"Lichenomphalia hudsoniana (H.S.Jenn.) Redhead, Lutzoni, Moncalvo & Vilgalys",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Lichenomphalia,Lichenomphalia hudsoniana
41,Leccinum scabrum (Bull.) Gray,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Leccinum scabrum
41,Picipes badius (Pers.) Zmitr. & Kovalenko,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Picipes,Picipes badius
40,Exidia glandulosa (Bull.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,Exidia glandulosa
40,Tricholoma vaccinum (Schaeff.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma vaccinum
40,Polyporus radicatus Schwein.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus radicatus
40,Trichaptum abietinum (Pers. ex J.F.Gmel.) Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,Trichaptum,Trichaptum abietinum
40,Aleurodiscus amorphus (Pers.) J.Schröt.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus amorphus
39,Hypholoma capnoides (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma capnoides
38,Cortinarius malicorius Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius malicorius
38,Lacrymaria lacrymabunda (Bull.) Pat.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,Lacrymaria lacrymabunda
38,Amanita bisporigera G.F.Atk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita bisporigera
38,Lactarius indigo (Schwein.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius indigo
38,Amanita rubescens Pers.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rubescens
37,Hygrocybe cuspidata (Peck) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe cuspidata
36,Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tubariaceae,Hemistropharia,Hemistropharia albocrenulata
36,"Parasola plicatilis (Curtis) Redhead, Vilgalys & Hopple",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Parasola plicatilis
36,Hygrocybe punicea (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe punicea
36,Fomitopsis pinicola (Sw.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis pinicola
36,Multiclavula mucida (Pers.) R.H.Petersen,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Multiclavula,Multiclavula mucida
35,Chondrostereum purpureum (Pers.) Pouzar,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
35,Cystoderma amianthinum (Scop.) Fayod,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Cystoderma,Cystoderma amianthinum
35,Cerioporus varius (Pers.) Zmitr. & Kovalenko,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Cerioporus,Cerioporus varius
35,"Amaropostia stiptica (Pers.) B.K.Cui, L.L.Shen & Y.C.Dai",Fungi,Basidiomycota,Agaricomycetes,Polyporales,,Amaropostia,Amaropostia stiptica
34,Cortinarius traganus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius traganus
34,Grifola frondosa (Dicks.) Gray,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,Grifola frondosa
34,Russula cyanoxantha (Schaeff.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula cyanoxantha
34,Gymnopilus luteus (Peck) Hesler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus luteus
33,Pholiota aurivella (Batsch) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota aurivella
33,Trametes ochracea (Pers.) Gilb. & Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes ochracea
